Description,GPA,Major,Minor,Transfer,Graduation Date,School Years,Minimum Units,Gender,Citizenship,Name,Amount,Deadline,Custom Required Info,Prefered Majors
None,1.5,Psychology,None,FALSE,2027,freshman,11,male,TRUE,Resilience Scholarship,500,2/15/2024,None,Psychology
None,1.8,Biology,Chemistry,TRUE,2027,freshman,10,male,TRUE,Academic Improvement Scholarship,800,2/28/2024,None,Biology
None,2.2,Computer Science,None,TRUE,2027,freshman,12,None,TRUE,Tech Explorer Scholarship,1200,3/1/2024,None,Computer Science
None,2.5,Psychology,None,FALSE,2026,sophomore,12,female,TRUE,Fresh Start Scholarship,1000,3/15/2024,None,Psychology
Volunteer work in community and part-time coding projects,2.8,Computer Science,Mathematics,TRUE,2026,sophomore,13,None,TRUE,Code for Change Scholarship,1000,4/15/2024,None,Computer Science
Internship at nonprofit organization,3,Sociology,None,FALSE,2024,senior,12,female,TRUE,Social Impact Scholarship,1500,4/20/2024,None,Sociology
Volunteer work in community and entrepreneurship,3.2,Business Administration,None,TRUE,2027,freshman,14,male,TRUE,Future Business Leader Scholarship,1800,3/20/2024,None,Business Administration and Entrepreneurship
None,3.2,Economics,Mathematics,TRUE,2027,freshman,16,None,TRUE,Economic Excellence Scholarship,1800,3/20/2024,None,None
Volunteer work in community and theater,3.2,Psychology,Sociology,TRUE,2027,freshman,14,male,TRUE,Community Arts Scholarship,1200,4/10/2024,None,Psychology and Performing Arts
participates in at least 1 club,3.2,Environmental Engineering,None,TRUE,2025,junior,12,None,TRUE,Eco Scholarship,500,8/24/2024,None,None
None,3.2,Marketing,None,FALSE,2024,senior,14,None,TRUE,Marketing Maven Scholarship,1800,6/1/2024,None,Marketing
None,3.2,Psychology,Sociology,TRUE,2026,sophomore,12,female,TRUE,Mental Impact Scholarship,1200,3/1/2024,None,None
works a part time job,3.25,None,None,TRUE,2025,junior,12,None,TRUE,Woker Support Scholarship,1000,10/30/2024,None,None
None,3.3,Engineering,None,FALSE,2027/2026,freshman/sophomore,12,None,TRUE,Shay Foundation Scholarship,2000,2/10/2024,None,Software Engineering / Computer Science Engineering
None,3.3,Mechanical Engineering,None,TRUE,2026,sophomore,15,None,TRUE,Engineering Visionary Scholarship,2500,5/1/2024,None,None
None,3.4,Business Administration,Marketing,FALSE,2027/2027,freshman/sophomore,14,None,TRUE,Business Achiever Scholarship,2500,7/15/2024,None,Business Administration
Volunteer work in community and environmental activism,3.4,Environmental Science,None,TRUE,2025,junior,12,None,TRUE,Eco Warrior Scholarship,1000,4/30/2024,None,Environmental Science and Sociology
Volunteer work in community,3.4,None,None,TRUE,2026,sophomore,14,female,TRUE,Community Leader Scholarship,800,4/10/2024,None,None
Volunteer work in community and public speaking,3.4,Sociology,None,TRUE,2026,sophomore,12,female,TRUE,Social Advocate Scholarship,1200,4/10/2024,None,Sociology and Communication Studies
None,3.5,Biology,None,FALSE,2027,freshman,15,male,TRUE,Science Enthusiast Scholarship,1500,4/15/2024,None,None
None,3.5,History,None,FALSE,2027/2028,freshman/sophomore,12,male,TRUE,History Enthusiast Scholarship,1200,6/1/2024,None,History and Political Science
Internship at marketing agency and photography,3.5,Business Administration,None,FALSE,2024,senior,15,None,TRUE,Creative Marketing Scholarship,2500,7/1/2024,Portfolio,Marketing and Graphic Design
Internship at marketing agency and social media management,3.5,Marketing,None,FALSE,2024,senior,14,female,TRUE,Social Media Influencer Scholarship,2000,7/1/2024,Portfolio,Marketing and Communications
None,3.5,None,None,TRUE,2026,sophomore,14,None,FALSE,Standard Scholarship,3000,2/15/2024,None,None
None,3.6,Chemistry,None,TRUE,2027,freshman,12,male,TRUE,STEM Pioneer Scholarship,1000,2/28/2024,None,None
Part-time job in environmental organization and hiking,3.6,Environmental Science,None,TRUE,2027,freshman,13,female,TRUE,Environmental Steward Scholarship,1500,3/10/2024,None,Environmental Science and Conservation Biology
None,3.6,Nursing,None,TRUE,2027,freshman,14,female,TRUE,Healthcare Hero Scholarship,1200,2/15/2024,None,None
Part-time coding projects and graphic design,3.6,Computer Science,None,TRUE,2026,sophomore,13,None,TRUE,Code and Design Scholarship,2500,5/15/2024,GitHub profile,Computer Science and Graphic Design
None,3.7,Marketing,None,FALSE,2027/2029,freshman/sophomore,13,None,TRUE,Marketing Excellence Scholarship,2000,7/15/2024,None,Marketing and Psychology
